gene_id,intron_id,intron_uid,chromosome,start,end,strand,supporting_transcripts,anchor_count,exon_overlap_warning,protocol,N_retained,N_spliced,N_specific,N_informative,IR_ratio,IR_specificity,species,IR_class
GLYMA_01G001100,GLYMA_01G001100.intron4,GLYMA_01G001100|1:208102-212611:+,1,208102,212611,+,KRH74131,1,yes,FLEP-seq;Iso-seq;ONT;ONT cDNA-seq,614,177,481,791,0.776232616940582,0.783387622149837,Glycine_max,high_confidence_IR
GLYMA_01G003100,GLYMA_01G003100.intron2,GLYMA_01G003100|1:370186-371789:+,1,370186,371789,+,KRH74156,1,yes,FLEP-seq;Iso-seq;ONT;ONT cDNA-seq,1219,43,1148,1262,0.965927099841521,0.941755537325677,Glycine_max,high_confidence_IR
GLYMA_01G005500,GLYMA_01G005500.intron4,GLYMA_01G005500|1:547479-548595:+,1,547479,548595,+,KRH74201;KRH74202,2,yes,FLEP-seq;Iso-seq;ONT;ONT cDNA-seq,79,94,60,173,0.456647398843931,0.759493670886076,Glycine_max,high_confidence_IR
GLYMA_01G011400,GLYMA_01G011400.intron2,GLYMA_01G011400|1:1088742-1088881:+,1,1088742,1088881,+,KRH74306,1,no,FLEP-seq;Iso-seq;ONT;ONT cDNA-seq,126,120,94,246,0.51219512195122,0.746031746031746,Glycine_max,high_confidence_IR
GLYMA_01G012700,GLYMA_01G012700.intron2,GLYMA_01G012700|1:1211968-1212095:+,1,1211968,1212095,+,KRH74320,1,no,FLEP-seq;Iso-seq;ONT;ONT cDNA-seq,405,120,381,525,0.771428571428571,0.940740740740741,Glycine_max,high_confidence_IR
GLYMA_01G013600,GLYMA_01G013600.intron7,GLYMA_01G013600|1:1307877-1311147:-,1,1307877,1311147,-,KRH74329,1,yes,FLEP-seq;Iso-seq;ONT;ONT cDNA-seq,387,24,280,411,0.941605839416058,0.723514211886305,Glycine_max,high_confidence_IR
GLYMA_01G016200,GLYMA_01G016200.intron1,GLYMA_01G016200|1:1554167-1554874:-,1,1554167,1554874,-,KRH74390,1,no,FLEP-seq;Iso-seq;ONT;ONT cDNA-seq,71,218,71,289,0.245674740484429,1,Glycine_max,high_confidence_IR
GLYMA_01G017800,GLYMA_01G017800.intron1,GLYMA_01G017800|1:1723018-1723121:+,1,1723018,1723121,+,KRH74409,1,yes,FLEP-seq;Iso-seq;ONT;ONT cDNA-seq,1332,72,1332,1404,0.948717948717949,1,Glycine_max,high_confidence_IR
GLYMA_01G019700,GLYMA_01G019700.intron3,GLYMA_01G019700|1:1941536-1941656:-,1,1941536,1941656,-,KRH74439,1,yes,FLEP-seq;Iso-seq;ONT;ONT cDNA-seq,1162,82,944,1244,0.934083601286174,0.812392426850258,Glycine_max,high_confidence_IR
GLYMA_01G025000,GLYMA_01G025000.intron1,GLYMA_01G025000|1:2559089-2559374:-,1,2559089,2559374,-,KRH74513,1,no,FLEP-seq;Iso-seq;ONT;ONT cDNA-seq,11,11,11,22,0.5,1,Glycine_max,high_confidence_IR
