gene_id,intron_id,intron_uid,chromosome,start,end,strand,supporting_transcripts,anchor_count,exon_overlap_warning,N_retained,N_spliced,N_specific,N_informative,IR_ratio,IR_specificity,species,IR_class
Solyc01g005050.4,Solyc01g005050.4.intron2,Solyc01g005050.4|SL4.0ch01:73499-73626:+,SL4.0ch01,73499,73626,+,Solyc01g005050.4.1,1,no,405,106,327,511,0.792563600782779,0.807407407407407,Solanum_lycopersicum,high_confidence_IR
Solyc01g005290.4,Solyc01g005290.4.intron2,Solyc01g005290.4|SL4.0ch01:224437-224809:-,SL4.0ch01,224437,224809,-,Solyc01g005290.4.1,1,no,117,269,83,386,0.303108808290155,0.709401709401709,Solanum_lycopersicum,high_confidence_IR
Solyc01g005450.3,Solyc01g005450.3.intron2,Solyc01g005450.3|SL4.0ch01:329043-329754:-,SL4.0ch01,329043,329754,-,Solyc01g005450.3.1,1,no,53,158,48,211,0.251184834123223,0.905660377358491,Solanum_lycopersicum,high_confidence_IR
Solyc01g005960.3,Solyc01g005960.3.intron1,Solyc01g005960.3|SL4.0ch01:636421-637156:+,SL4.0ch01,636421,637156,+,Solyc01g005960.3.1,1,no,558,29,464,587,0.950596252129472,0.831541218637993,Solanum_lycopersicum,high_confidence_IR
Solyc01g006190.3,Solyc01g006190.3.intron1,Solyc01g006190.3|SL4.0ch01:832535-833472:-,SL4.0ch01,832535,833472,-,Solyc01g006190.3.1,1,no,244,60,193,304,0.802631578947368,0.790983606557377,Solanum_lycopersicum,high_confidence_IR
Solyc01g006340.3,Solyc01g006340.3.intron3,Solyc01g006340.3|SL4.0ch01:927348-927496:+,SL4.0ch01,927348,927496,+,Solyc01g006340.3.1,1,no,424,6,334,430,0.986046511627907,0.787735849056604,Solanum_lycopersicum,high_confidence_IR
Solyc01g006430.3,Solyc01g006430.3.intron1,Solyc01g006430.3|SL4.0ch01:1042285-1042372:-,SL4.0ch01,1042285,1042372,-,Solyc01g006430.3.1,1,no,1724,1138,1724,2862,0.602375960866527,1,Solanum_lycopersicum,high_confidence_IR
Solyc01g006860.3,Solyc01g006860.3.intron5,Solyc01g006860.3|SL4.0ch01:1430659-1431032:-,SL4.0ch01,1430659,1431032,-,Solyc01g006860.3.1,1,no,353,860,251,1213,0.291014014839242,0.711048158640227,Solanum_lycopersicum,high_confidence_IR
Solyc01g007140.3,Solyc01g007140.3.intron19,Solyc01g007140.3|SL4.0ch01:1709563-1709794:+,SL4.0ch01,1709563,1709794,+,Solyc01g007140.3.1,1,no,190,265,140,455,0.417582417582418,0.736842105263158,Solanum_lycopersicum,high_confidence_IR
Solyc01g007780.4,Solyc01g007780.4.intron1,Solyc01g007780.4|SL4.0ch01:1883309-1883922:-,SL4.0ch01,1883309,1883922,-,Solyc01g007780.4.1,1,no,376,133,312,509,0.738703339882122,0.829787234042553,Solanum_lycopersicum,high_confidence_IR
Solyc01g008020.4,Solyc01g008020.4.intron2,Solyc01g008020.4|SL4.0ch01:2135349-2135535:-,SL4.0ch01,2135349,2135535,-,Solyc01g008020.4.1,1,no,58,68,58,126,0.46031746031746,1,Solanum_lycopersicum,high_confidence_IR
Solyc01g008060.3,Solyc01g008060.3.intron2,Solyc01g008060.3|SL4.0ch01:2153523-2154838:+,SL4.0ch01,2153523,2154838,+,Solyc01g008060.3.1,1,no,3918,930,3441,4848,0.808168316831683,0.878254211332312,Solanum_lycopersicum,high_confidence_IR
Solyc01g008690.3,Solyc01g008690.3.intron1,Solyc01g008690.3|SL4.0ch01:2691036-2691719:-,SL4.0ch01,2691036,2691719,-,Solyc01g008690.3.1,1,no,82,233,60,315,0.26031746031746,0.731707317073171,Solanum_lycopersicum,high_confidence_IR
Solyc01g008900.4,Solyc01g008900.4.intron3,Solyc01g008900.4|SL4.0ch01:2872398-2872524:+,SL4.0ch01,2872398,2872524,+,Solyc01g008900.4.1,1,no,135,289,107,424,0.318396226415094,0.792592592592593,Solanum_lycopersicum,high_confidence_IR
Solyc01g009020.4,Solyc01g009020.4.intron1,Solyc01g009020.4|SL4.0ch01:2971766-2971888:-,SL4.0ch01,2971766,2971888,-,Solyc01g009020.4.1,1,no,96,279,94,375,0.256,0.979166666666667,Solanum_lycopersicum,high_confidence_IR
Solyc01g009190.3,Solyc01g009190.3.intron1,Solyc01g009190.3|SL4.0ch01:3181685-3182117:+,SL4.0ch01,3181685,3182117,+,Solyc01g009190.3.1,1,no,10,5,10,15,0.666666666666667,1,Solanum_lycopersicum,high_confidence_IR
Solyc01g009443.1,Solyc01g009443.1.intron1,Solyc01g009443.1|SL4.0ch01:3623822-3624452:-,SL4.0ch01,3623822,3624452,-,Solyc01g009443.1.1,1,no,5038,3928,4803,8966,0.561900513049297,0.953354505756252,Solanum_lycopersicum,high_confidence_IR
Solyc01g010160.3,Solyc01g010160.3.intron1,Solyc01g010160.3|SL4.0ch01:4971416-4971503:-,SL4.0ch01,4971416,4971503,-,Solyc01g010160.3.1,1,no,13,19,13,32,0.40625,1,Solanum_lycopersicum,high_confidence_IR
Solyc01g010365.1,Solyc01g010365.1.intron1,Solyc01g010365.1|SL4.0ch01:5215188-5215760:-,SL4.0ch01,5215188,5215760,-,Solyc01g010365.1.1,1,no,70,19,70,89,0.786516853932584,1,Solanum_lycopersicum,high_confidence_IR
