gene_id,intron_id,intron_uid,chromosome,start,end,strand,supporting_transcripts,anchor_count,exon_overlap_warning,N_retained,N_spliced,N_specific,N_informative,IR_ratio,IR_specificity,species,IR_class
AT1G01030,AT1G01030.intron2,AT1G01030|1:12355-12423:-,1,12355,12423,-,AT1G01030.2,1,yes,1041,78,875,1119,0.93029490616622,0.840537944284342,Arabidopsis_thaliana,high_confidence_IR
AT1G01030,AT1G01030.intron1,AT1G01030|1:13174-13334:-,1,13174,13334,-,AT1G01030.1;AT1G01030.2,2,no,390,1249,300,1639,0.237949969493594,0.769230769230769,Arabidopsis_thaliana,high_confidence_IR
AT1G01060,AT1G01060.intron12,AT1G01060|1:33590-33980:-,1,33590,33980,-,AT1G01060.3;AT1G01060.6,2,yes,29,106,21,135,0.214814814814815,0.724137931034483,Arabidopsis_thaliana,high_confidence_IR
AT1G01640,AT1G01640.intron2,AT1G01640|1:231909-232397:-,1,231909,232397,-,AT1G01640.2,1,yes,1900,131,1700,2031,0.935499753815854,0.894736842105263,Arabidopsis_thaliana,high_confidence_IR
AT1G04053,AT1G04053.intron1,AT1G04053|1:275978-276246:-,1,275978,276246,-,AT1G04053.1,1,no,563,676,563,1239,0.454398708635997,1,Arabidopsis_thaliana,high_confidence_IR
AT1G01770,AT1G01770.intron15,AT1G01770|1:282767-282848:+,1,282767,282848,+,AT1G01770.1,1,no,3223,6464,3082,9687,0.332713946526272,0.956251939187093,Arabidopsis_thaliana,high_confidence_IR
AT1G02020,AT1G02020.intron1,AT1G02020|1:353513-353621:-,1,353513,353621,-,AT1G02020.3,1,yes,2092,353,1667,2445,0.855623721881391,0.796845124282983,Arabidopsis_thaliana,high_confidence_IR
AT1G02090,AT1G02090.intron8,AT1G02090|1:387656-388267:-,1,387656,388267,-,AT1G02090.2,1,yes,5729,2823,4390,8552,0.669901777362021,0.766276837144353,Arabidopsis_thaliana,high_confidence_IR
AT1G02180,AT1G02180.intron1,AT1G02180|1:414218-414423:-,1,414218,414423,-,AT1G02180.1,1,no,461,1392,461,1853,0.248785752833243,1,Arabidopsis_thaliana,high_confidence_IR
AT1G02260,AT1G02260.intron1,AT1G02260|1:442621-442717:-,1,442621,442717,-,AT1G02260.1,1,yes,1210,2289,1127,3499,0.34581308945413,0.931404958677686,Arabidopsis_thaliana,high_confidence_IR
AT1G04103,AT1G04103.intron1,AT1G04103|1:460637-461770:+,1,460637,461770,+,AT1G04103.2,1,no,12,6,12,18,0.666666666666667,1,Arabidopsis_thaliana,high_confidence_IR
AT1G02510,AT1G02510.intron1,AT1G02510|1:520805-520889:-,1,520805,520889,-,AT1G02510.1,1,no,37,58,37,95,0.389473684210526,1,Arabidopsis_thaliana,high_confidence_IR
