gene_id,intron_id,intron_uid,chromosome,start,end,strand,supporting_transcripts,anchor_count,exon_overlap_warning,N_retained,N_spliced,N_specific,N_informative,IR_ratio,IR_specificity,species,IR_class
Zm00001eb000030,Zm00001eb000030.intron1,Zm00001eb000030|1:106405-106485:-,1,106405,106485,-,Zm00001eb000030_T001,1,no,113,173,113,286,0.395104895104895,1,Zea_mays,high_confidence_IR
Zm00001eb000060,Zm00001eb000060.intron1,Zm00001eb000060|1:189089-189145:-,1,189089,189145,-,Zm00001eb000060_T001,1,no,7266,1202,7266,8468,0.858053849787435,1,Zea_mays,high_confidence_IR
Zm00001eb000180,Zm00001eb000180.intron1,Zm00001eb000180|1:551832-551936:+,1,551832,551936,+,Zm00001eb000180_T001,1,no,361,31,361,392,0.920918367346939,1,Zea_mays,high_confidence_IR
Zm00001eb000320,Zm00001eb000320.intron4,Zm00001eb000320|1:1218410-1221520:-,1,1218410,1221520,-,Zm00001eb000320_T001,1,yes,4519,165,4198,4684,0.964773697694278,0.928966585527772,Zea_mays,high_confidence_IR
Zm00001eb000880,Zm00001eb000880.intron2,Zm00001eb000880|1:3164641-3164691:-,1,3164641,3164691,-,Zm00001eb000880_T002,1,yes,4305,7,3420,4312,0.998376623376623,0.794425087108014,Zea_mays,high_confidence_IR
Zm00001eb000960,Zm00001eb000960.intron1,Zm00001eb000960|1:3360435-3360517:+,1,3360435,3360517,+,Zm00001eb000960_T001,1,yes,593,22,593,615,0.964227642276423,1,Zea_mays,high_confidence_IR
Zm00001eb001780,Zm00001eb001780.intron1,Zm00001eb001780|1:5281911-5282026:+,1,5281911,5282026,+,Zm00001eb001780_T001,1,yes,6667,276,6667,6943,0.960247731528158,1,Zea_mays,high_confidence_IR
Zm00001eb002930,Zm00001eb002930.intron1,Zm00001eb002930|1:8052777-8052888:-,1,8052777,8052888,-,Zm00001eb002930_T002,1,yes,2171,205,2171,2376,0.913720538720539,1,Zea_mays,high_confidence_IR
Zm00001eb002940,Zm00001eb002940.intron3,Zm00001eb002940|1:8056047-8056674:-,1,8056047,8056674,-,Zm00001eb002940_T001,1,yes,1464,9,1188,1473,0.993890020366599,0.811475409836066,Zea_mays,high_confidence_IR
Zm00001eb003450,Zm00001eb003450.intron1,Zm00001eb003450|1:9096297-9096549:+,1,9096297,9096549,+,Zm00001eb003450_T001,1,yes,74,130,74,204,0.362745098039216,1,Zea_mays,high_confidence_IR
Zm00001eb003620,Zm00001eb003620.intron1,Zm00001eb003620|1:9711415-9711527:+,1,9711415,9711527,+,Zm00001eb003620_T002,1,yes,35,127,35,162,0.216049382716049,1,Zea_mays,high_confidence_IR
Zm00001eb004390,Zm00001eb004390.intron1,Zm00001eb004390|1:12227414-12227602:+,1,12227414,12227602,+,Zm00001eb004390_T001,1,yes,18553,319,18553,18872,0.983096651123357,1,Zea_mays,high_confidence_IR
Zm00001eb004410,Zm00001eb004410.intron3,Zm00001eb004410|1:12236440-12236532:-,1,12236440,12236532,-,Zm00001eb004410_T003,1,yes,7243,6185,6087,13428,0.539395293416741,0.840397625293387,Zea_mays,high_confidence_IR
Zm00001eb004470,Zm00001eb004470.intron1,Zm00001eb004470|1:12338626-12338754:-,1,12338626,12338754,-,Zm00001eb004470_T001,1,no,26,104,26,130,0.2,1,Zea_mays,high_confidence_IR
Zm00001eb004510,Zm00001eb004510.intron3,Zm00001eb004510|1:12407350-12425711:+,1,12407350,12425711,+,Zm00001eb004510_T001,1,yes,119,13,88,132,0.901515151515151,0.739495798319328,Zea_mays,high_confidence_IR
Zm00001eb004770,Zm00001eb004770.intron2,Zm00001eb004770|1:13040257-13040339:+,1,13040257,13040339,+,Zm00001eb004770_T002,1,yes,1959,62,1429,2021,0.969322117763483,0.729453802960694,Zea_mays,high_confidence_IR
Zm00001eb005110,Zm00001eb005110.intron1,Zm00001eb005110|1:14143644-14144397:-,1,14143644,14144397,-,Zm00001eb005110_T001,1,no,233,444,233,677,0.344165435745938,1,Zea_mays,high_confidence_IR
Zm00001eb005900,Zm00001eb005900.intron3,Zm00001eb005900|1:16739981-16742682:+,1,16739981,16742682,+,Zm00001eb005900_T002,1,yes,1152,226,822,1378,0.835994194484761,0.713541666666667,Zea_mays,high_confidence_IR
Zm00001eb006100,Zm00001eb006100.intron1,Zm00001eb006100|1:17504899-17505198:+,1,17504899,17505198,+,Zm00001eb006100_T001,1,no,286,687,231,973,0.29393627954779,0.807692307692308,Zea_mays,high_confidence_IR
Zm00001eb006320,Zm00001eb006320.intron1,Zm00001eb006320|1:17873279-17877539:+,1,17873279,17877539,+,Zm00001eb006320_T001;Zm00001eb006320_T002,2,no,380,176,285,556,0.683453237410072,0.75,Zea_mays,high_confidence_IR
Zm00001eb007040,Zm00001eb007040.intron2,Zm00001eb007040|1:20392426-20392559:-,1,20392426,20392559,-,Zm00001eb007040_T001,1,no,274,25,213,299,0.916387959866221,0.777372262773723,Zea_mays,high_confidence_IR
