gene_id,intron_id,intron_uid,chromosome,start,end,strand,supporting_transcripts,anchor_count,exon_overlap_warning,N_retained,N_spliced,N_specific,N_informative,IR_ratio,IR_specificity,species,IR_class
Os01g0100300,Os01g0100300.intron1,Os01g0100300|1:12043-12145:-,1,12043,12145,-,Os01t0100300-00,1,no,160,14,160,174,0.919540229885057,1,Oryza_sativa,high_confidence_IR
Os01g0100200,Os01g0100200.intron1,Os01g0100200|1:12061-12151:+,1,12061,12151,+,Os01t0100200-01,1,no,141,152,141,293,0.48122866894198,1,Oryza_sativa,high_confidence_IR
Os01g0101600,Os01g0101600.intron3,Os01g0101600|1:77206-77332:+,1,77206,77332,+,Os01t0101600-01,1,yes,9154,36,8150,9190,0.996082698585419,0.890321171072755,Oryza_sativa,high_confidence_IR
Os01g0108600,Os01g0108600.intron2,Os01g0108600|1:480414-480469:+,1,480414,480469,+,Os01t0108600-01,1,yes,9625,14,8401,9639,0.998547567175018,0.872831168831169,Oryza_sativa,high_confidence_IR
Os01g0110800,Os01g0110800.intron2,Os01g0110800|1:577483-577563:-,1,577483,577563,-,Os01t0110800-01,1,no,1292,3850,1155,5142,0.251264099572151,0.893962848297214,Oryza_sativa,high_confidence_IR
Os01g0111400,Os01g0111400.intron1,Os01g0111400|1:598480-598763:+,1,598480,598763,+,Os01t0111400-02,1,yes,908,1822,763,2730,0.332600732600733,0.840308370044053,Oryza_sativa,high_confidence_IR
Os01g0115300,Os01g0115300.intron1,Os01g0115300|1:809110-809266:-,1,809110,809266,-,Os01t0115300-01,1,no,743,179,743,922,0.8058568329718,1,Oryza_sativa,high_confidence_IR
Os01g0115700,Os01g0115700.intron2,Os01g0115700|1:853373-853576:-,1,853373,853576,-,Os01t0115700-01,1,no,1196,1899,950,3095,0.38642972536349,0.794314381270903,Oryza_sativa,high_confidence_IR
Os01g0117700,Os01g0117700.intron1,Os01g0117700|1:998750-999897:+,1,998750,999897,+,Os01t0117700-00,1,no,116,12,116,128,0.90625,1,Oryza_sativa,high_confidence_IR
Os01g0121500,Os01g0121500.intron1,Os01g0121500|1:1217779-1217944:-,1,1217779,1217944,-,Os01t0121500-01,1,no,2601,1403,2601,4004,0.6496003996004,1,Oryza_sativa,high_confidence_IR
Os01g0121950,Os01g0121950.intron1,Os01g0121950|1:1241309-1241613:+,1,1241309,1241613,+,Os01t0121950-00,1,no,66,258,66,324,0.203703703703704,1,Oryza_sativa,high_confidence_IR
Os01g0122200,Os01g0122200.intron1,Os01g0122200|1:1254084-1254207:+,1,1254084,1254207,+,Os01t0122200-01,1,no,26,14,20,40,0.65,0.769230769230769,Oryza_sativa,high_confidence_IR
Os01g0135000,Os01g0135000.intron1,Os01g0135000|1:1914873-1915019:+,1,1914873,1915019,+,Os01t0135000-01,1,no,2976,33,2976,3009,0.989032901296112,1,Oryza_sativa,high_confidence_IR
Os01g0135600,Os01g0135600.intron1,Os01g0135600|1:1929736-1929906:+,1,1929736,1929906,+,Os01t0135600-01,1,no,264,5,264,269,0.981412639405205,1,Oryza_sativa,high_confidence_IR
Os01g0137250,Os01g0137250.intron1,Os01g0137250|1:1995650-1995805:+,1,1995650,1995805,+,Os01t0137250-00,1,no,44,140,44,184,0.239130434782609,1,Oryza_sativa,high_confidence_IR
Os01g0137550,Os01g0137550.intron1,Os01g0137550|1:2018540-2018774:-,1,2018540,2018774,-,Os01t0137550-01,1,no,363,81,297,444,0.817567567567568,0.818181818181818,Oryza_sativa,high_confidence_IR
Os01g0137700,Os01g0137700.intron1,Os01g0137700|1:2024803-2024893:+,1,2024803,2024893,+,Os01t0137700-01,1,no,159,441,159,600,0.265,1,Oryza_sativa,high_confidence_IR
